RoleDisplayName,Permission,RoleType
Cloud Application Administrator,microsoft.directory/provisioningLogs/allProperties/read,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/audience/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/authentication/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/basic/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/create,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/credentials/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/delete,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/disable,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/enable,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/getPasswordSingleSignOnCredentials,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/managePasswordSingleSignOnCredentials,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-application-admin,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/notes/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/owners/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/permissions/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/policies/update,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage,Built-in
Cloud Application Administrator,microsoft.directory/servicePrincipals/tag/update,Built-in
Cloud Application Administrator,microsoft.directory/signInReports/allProperties/read,Built-in
Cloud Application Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Cloud Application Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
